Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
my messages,5000,8,5,210,4.17,0.000%,237.63129,5749.33,139.47,24775.0
chat messages,5000,9,5,52,3.29,0.000%,239.96928,5805.76,157.48,24774.4
TOTAL,10000,9,5,210,3.77,0.000%,475.12710,11495.25,295.33,24774.7
