Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,31,12,264,53.78,0.000%,18.38235,31.19,8.53,1737.3
TOTAL,20,31,12,264,53.78,0.000%,18.38235,31.19,8.53,1737.3
