Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,41,30,65,10.55,0.000%,14.82580,61.92,5.82,4277.0
TOTAL,20,41,30,65,10.55,0.000%,14.82580,61.92,5.82,4277.0
