Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,23,14,62,10.45,0.000%,23.50176,99.01,9.23,4314.1
TOTAL,20,23,14,62,10.45,0.000%,23.50176,99.01,9.23,4314.1
