Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,29,12,232,46.97,0.000%,19.64637,33.33,9.11,1737.3
TOTAL,20,29,12,232,46.97,0.000%,19.64637,33.33,9.11,1737.3
