Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,21,13,56,9.27,0.000%,24.93766,105.06,9.79,4314.1
TOTAL,20,21,13,56,9.27,0.000%,24.93766,105.06,9.79,4314.1
