Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,39,28,58,8.17,0.000%,15.97444,66.72,6.27,4277.0
TOTAL,20,39,28,58,8.17,0.000%,15.97444,66.72,6.27,4277.0
