Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,33,17,213,41.42,0.000%,13.96648,23.53,6.48,1725.0
TOTAL,20,33,17,213,41.42,0.000%,13.96648,23.53,6.48,1725.0
